id,date
2604,2022-08-30
2607,2022-08-31
2610,2022-09-01
2613,2022-09-02
2617,2022-09-03
2620,2022-09-04
2623,2022-09-05
2627,2022-09-06
2630,2022-09-07
2633,2022-09-08
2638,2022-09-09
2641,2022-09-10
2644,2022-09-11
2647,2022-09-12
2651,2022-09-13
2654,2022-09-14
2657,2022-09-15
2661,2022-09-16
2664,2022-09-17
2667,2022-09-18
2671,2022-09-19
2674,2022-09-20
2677,2022-09-21
2680,2022-09-22
2684,2022-09-23
2687,2022-09-24
2690,2022-09-25
2694,2022-09-26
2697,2022-09-27
2700,2022-09-28
2704,2022-09-29
2707,2022-09-30
2710,2022-10-01
2713,2022-10-02
2717,2022-10-03
2720,2022-10-04
2723,2022-10-05
2727,2022-10-06
2730,2022-10-07
2733,2022-10-08
2737,2022-10-09
2740,2022-10-10
2743,2022-10-11
2746,2022-10-12
2751,2022-10-13
2754,2022-10-14
2757,2022-10-15
2761,2022-10-16
2764,2022-10-17
2767,2022-10-18
2771,2022-10-19
2774,2022-10-20
2777,2022-10-21
2780,2022-10-22
2784,2022-10-23
2787,2022-10-24
2790,2022-10-25
2794,2022-10-26
2797,2022-10-27
2800,2022-10-28
2804,2022-10-29
2807,2022-10-30
2810,2022-10-31
2813,2022-11-01
2817,2022-11-02
2820,2022-11-03
2823,2022-11-04
2827,2022-11-05
2830,2022-11-06
2833,2022-11-07
2837,2022-11-08
2840,2022-11-09
2843,2022-11-10
2846,2022-11-11
2850,2022-11-12
2853,2022-11-13
2856,2022-11-14
1722,2022-11-15
1725,2022-11-16
1728,2022-11-17
1732,2022-11-18
1735,2022-11-19
1738,2022-11-20
1741,2022-11-21
1745,2022-11-22
1748,2022-11-23
1751,2022-11-24
1755,2022-11-25
1758,2022-11-26
1761,2022-11-27
1765,2022-11-28
1768,2022-11-29
1771,2022-11-30
1774,2022-12-01
1778,2022-12-02
1781,2022-12-03
1784,2022-12-04
1788,2022-12-05
1791,2022-12-06
1794,2022-12-07
1798,2022-12-08
1801,2022-12-09
1804,2022-12-10
1807,2022-12-11
1811,2022-12-12
1814,2022-12-13
1817,2022-12-14
1821,2022-12-15
1824,2022-12-16
1827,2022-12-17
1832,2022-12-18
1835,2022-12-19
1838,2022-12-20
1841,2022-12-21
1845,2022-12-22
1848,2022-12-23
1851,2022-12-24
1855,2022-12-25
1858,2022-12-26
1861,2022-12-27
1865,2022-12-28
1868,2022-12-29
1871,2022-12-30
1874,2022-12-31
1878,2023-01-01
2084,2023-01-02
2415,2023-01-03
2748,2023-01-04
1885,2023-01-05
1917,2023-01-06
1950,2023-01-07
1984,2023-01-08
2017,2023-01-09
2050,2023-01-10
2083,2023-01-11
2117,2023-01-12
2149,2023-01-13
2182,2023-01-14
2216,2023-01-15
2249,2023-01-16
2282,2023-01-17
2315,2023-01-18
2348,2023-01-19
2381,2023-01-20
2414,2023-01-21
2448,2023-01-22
2492,2023-01-23
2537,2023-01-24
2581,2023-01-25
2625,2023-01-26
2670,2023-01-27
2714,2023-01-28
2759,2023-01-29
2803,2023-01-30
2847,2023-01-31
1753,2023-02-01
1797,2023-02-02
1842,2023-02-03
1879,2023-02-04
1883,2023-02-05
1888,2023-02-06
1892,2023-02-07
1897,2023-02-08
1901,2023-02-09
1905,2023-02-10
1913,2023-02-11
1918,2023-02-13
1922,2023-02-14
1926,2023-02-15
1931,2023-02-16
1935,2023-02-17
1940,2023-02-18
1944,2023-02-19
1948,2023-02-20
1953,2023-02-21
1957,2023-02-22
1962,2023-02-23
1966,2023-02-24
1970,2023-02-25
1976,2023-02-26
1980,2023-02-27
1985,2023-02-28
1989,2023-03-01
1994,2023-03-02
1999,2023-03-03
2003,2023-03-04
2008,2023-03-05
2012,2023-03-06
2016,2023-03-07
2021,2023-03-08
2025,2023-03-09
2030,2023-03-10
